snr,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual,accuracy
0.5,RegimeOnly,0.03473591965842945,0.08429769820534604,0.031648333742305246,0.17480809051907079,0.2768567520641863,-0.3000763720834817,0.1054675965407254,0.3495467070814813,0.017110028735279448,0.5555555555555556
0.5,NarrativeRegimes,0.04349095930921847,0.08200898015682345,0.04089113751800033,0.2864437438960632,0.45973995690147235,-0.27087460957001264,0.1509596546642414,0.6481692020599897,0.02701309494259796,0.404320987654321
0.5,RegimeOnly,0.04142510137682243,0.08371246981590895,0.03859554320354852,0.25593679679906833,0.3955939881400119,-0.25506335343071884,0.15131747734208306,0.7101229644460536,0.024033136883910844,0.41975308641975306
0.5,NarrativeRegimes,0.020298530339082476,0.0980992180436908,0.015553767348022607,0.003043146979515343,0.004103134778913616,-0.37145450792876067,0.04187260355178024,0.7832501912540716,-0.004834513064967183,0.5092592592592593
0.5,RegimeOnly,0.02075979824104795,0.09386918373707617,0.016470497409987184,0.008094224438726478,0.01203843965041822,-0.29279511593481167,0.056252637129555805,0.6331959780915277,-0.0016392183496718449,0.13271604938271606
0.5,NarrativeRegimes,0.03680585802613293,0.08956740389869731,0.03331805397506393,0.18763364008116973,0.29473298524872904,-0.2905795908124731,0.11466068171513771,0.2258741986815923,0.016944171761552385,0.25617283950617287
0.5,RegimeOnly,0.03531036022108454,0.08779295817414207,0.03193685169914762,0.17439166579528634,0.268678247878369,-0.2892195114470727,0.1104242640455192,0.13817177393985056,0.01619582929088037,0.13580246913580246
0.5,NarrativeRegimes,0.04091410887337146,0.093963762924363,0.03708787679039882,0.22257632328120433,0.2862149660329141,-0.4047446312517713,0.09163278256636916,0.4830922208238762,0.018166330295738664,0.6358024691358025
0.5,RegimeOnly,0.0501564568917879,0.08089621454469258,0.04792487450172356,0.3727795801264275,0.5697457359804832,-0.25606100731970305,0.1871619384902572,0.24851522608963966,0.03434863265251398,0.6388888888888888
0.5,NarrativeRegimes,0.04217555889574043,0.09248021459896898,0.03858658282724958,0.2397870613936448,0.3720738258042371,-0.16526810030819117,0.23347870977698362,0.3472888728190069,0.02098516783697435,0.5401234567901234
0.5,RegimeOnly,0.04816575631011183,0.0885416105701464,0.045200353155449235,0.31810756692524494,0.5511956544635868,-0.13336728189891534,0.33891635573489814,0.13320672480238738,0.029307615145779176,0.4691358024691358
0.5,NarrativeRegimes,0.01825682685222653,0.07812990233233394,0.015327903269308552,-0.02231121626593997,-0.03650356322848903,-0.3406594776875804,0.04499479472391432,0.4529717148685415,0.003102183894195365,0.595679012345679
0.5,RegimeOnly,0.023833125607580274,0.07064769550228794,0.021559853807017415,0.05425690930649159,0.08832890716173608,-0.29284110012064335,0.07362304607562013,0.27503797550260595,0.011465072846431168,0.6450617283950617
0.5,NarrativeRegimes,0.021244141933257583,0.09077542733280876,0.017259215267154904,0.013705712766255592,0.02023063246295068,-0.27482132253724423,0.06280158725608312,0.31295952201669225,0.0004089791135521992,0.6388888888888888
0.5,RegimeOnly,0.023177634595634364,0.0930528167801582,0.019022148743647715,0.03414872010958765,0.05150075822320386,-0.2904514496184166,0.06549166398941457,0.21097785456599016,0.0014290186297853946,0.6728395061728395
